id,text,rating,sentiment_score,pseudo_label,label,pos_keywords,neg_keywords,needs_review
895,"biển đẹp, nhưng đồ ăn hơi đắt",3,0.028800000000000006,NEU,NEU,['đẹp'],['đắt'],YES
894,"Giá trên trời, không đáng tiền",1,0.0,NEG,NEG,[],[],NO
893,"Theo mình Thất vọng hoàn toàn, không như quảng cáo",1,0.0,NEG,NEG,[],[],NO
892,"Chặt chém du khách, lừa đảo nha",1,0.0,NEG,NEG,[],[],NO
891,"Theo mình Bẩn quá, toilet hôi hám",1,0.0,NEG,NEG,[],[],NO
889,"Không gian yên bình, thơ mộng",4,0.0,POS,POS,[],[],NO
890,"Cá nhân mình nghĩ Dịch vụ tệ, không bao giờ quay lại",1,0.0,NEG,NEG,[],[],NO
888,"Giá hợp lý, đáng để trải nghiệm",4,0.0,POS,POS,[],[],NO
886,"Địa điểm xinh, nhân viên dễ thương",4,0.0,POS,POS,[],[],NO
887,"Theo mình Phòng sạch sẽ, tiện nghi đầy đủ nha",4,0.0,POS,POS,[],[],NO
884,Hài lòng với chuyến đi,4,0.0,POS,POS,[],[],NO
885,"Nên đi, view đẹp lắm",4,0.0,POS,POS,[],[],NO
883,"Mình thấy Khá ổn, cảnh đẹp, dịch vụ tốt",4,0.0,POS,POS,[],[],NO
882,"Đáng tiền, trải nghiệm tốt",4,0.0,POS,POS,[],[],NO
881,"Siêu đẹp, chụp hình cực xịn",5,0.0,POS,POS,[],[],NO
879,"Hoàn hảo, xứng đáng 5 sao",5,0.0,POS,POS,[],[],NO
880,"Tuyệt đẹp, không thể bỏ lỡ",5,0.0,POS,POS,[],[],NO
877,"Theo mình View đỉnh cao, phục vụ nhiệt tình",5,0.0,POS,POS,[],[],NO
878,"Rất hài lòng, sẽ quay lại ạ",5,0.0,POS,POS,[],[],NO
875,"Địa điểm tuyệt vời, rất đáng đi",5,0.0,POS,POS,[],[],NO
876,"Theo mình Cảnh đẹp xuất sắc, recommend mạnh",5,0.0,POS,POS,[],[],NO
874,"Theo mình Được, nhưng kỳ vọng cao hơn",3,0.0,NEU,NEU,[],[],YES
873,Giá rẻ nhưng cơ sở vật chất hơi kém nhé,3,0.0,NEU,NEU,[],[],YES
871,View đẹp nhưng xa trung tâm,3,0.0,NEU,NEU,[],[],YES
872,Nhân viên thân thiện nhưng phòng cũ nhé,3,0.0,NEU,NEU,[],[],YES
870,Đồ ăn ngon nhưng giá hơi mắc,3,0.0,NEU,NEU,[],[],YES
869,Phòng sạch nhưng wifi yếu nha,3,0.0,NEU,NEU,[],[],YES
868,Cảnh đẹp nhưng đông quá,3,0.0,NEU,NEU,[],[],YES
867,"Theo mình Ok thôi, cũng được",3,0.0,NEU,NEU,[],[],YES
866,"Tạm ổn, giá hơi cao",3,0.0,NEU,NEU,[],[],YES
865,"Bình thường, không có gì đặc biệt nhé",3,0.0,NEU,NEU,[],[],YES
862,"Cá nhân mình nghĩ Cơ sở vật chất xuống cấp, hư hỏng nhiều",2,0.0,NEG,NEG,[],[],NO
864,Đắt mà chất lượng kém,2,0.0,NEG,NEG,[],[],NO
863,"Không sạch sẽ, mùi khó chịu",2,0.0,NEG,NEG,[],[],NO
860,"Theo mình Nhân viên thái độ kém, phục vụ tệ",2,0.0,NEG,NEG,[],[],NO
861,"Quá đông, chen chúc, chờ lâu",2,0.0,NEG,NEG,[],[],NO
858,"Thất vọng hoàn toàn, không như quảng cáo nha",1,0.0,NEG,NEG,[],[],NO
859,"Giá trên trời, không đáng tiền",1,0.0,NEG,NEG,[],[],NO
856,"Bẩn quá, toilet hôi hám",1,0.0,NEG,NEG,[],[],NO
857,"Chặt chém du khách, lừa đảo",1,0.0,NEG,NEG,[],[],NO
855,"Dịch vụ tệ, không bao giờ quay lại nha",1,0.0,NEG,NEG,[],[],NO
854,"Không gian yên bình, thơ mộng",4,0.0,POS,POS,[],[],NO
852,"Cá nhân mình nghĩ Phòng sạch sẽ, tiện nghi đầy đủ",4,0.0,POS,POS,[],[],NO
853,"Giá hợp lý, đáng để trải nghiệm",4,0.0,POS,POS,[],[],NO
851,"Địa điểm xinh, nhân viên dễ thương luôn",4,0.0,POS,POS,[],[],NO
850,"Nên đi, view đẹp lắm",4,0.0,POS,POS,[],[],NO
847,"Theo mình Đáng tiền, trải nghiệm tốt",4,0.0,POS,POS,[],[],NO
848,"Khá ổn, cảnh đẹp, dịch vụ tốt ạ",4,0.0,POS,POS,[],[],NO
849,Hài lòng với chuyến đi,4,0.0,POS,POS,[],[],NO
846,"Siêu đẹp, chụp hình cực xịn",5,0.0,POS,POS,[],[],NO
845,"Tuyệt đẹp, không thể bỏ lỡ",5,0.0,POS,POS,[],[],NO
843,"Rất hài lòng, sẽ quay lại",5,0.0,POS,POS,[],[],NO
844,"Hoàn hảo, xứng đáng 5 sao",5,0.0,POS,POS,[],[],NO
842,"View đỉnh cao, phục vụ nhiệt tình",5,0.0,POS,POS,[],[],NO
841,"Cảnh đẹp xuất sắc, recommend mạnh",5,0.0,POS,POS,[],[],NO
840,"Địa điểm tuyệt vời, rất đáng đi",5,0.0,POS,POS,[],[],NO
839,"Mình thấy Được, nhưng kỳ vọng cao hơn",3,0.0,NEU,NEU,[],[],YES
838,Giá rẻ nhưng cơ sở vật chất hơi kém nhé,3,0.0,NEU,NEU,[],[],YES
837,Nhân viên thân thiện nhưng phòng cũ luôn,3,0.0,NEU,NEU,[],[],YES
836,View đẹp nhưng xa trung tâm,3,0.0,NEU,NEU,[],[],YES
835,Cá nhân mình nghĩ Đồ ăn ngon nhưng giá hơi mắc,3,0.0,NEU,NEU,[],[],YES
834,Phòng sạch nhưng wifi yếu,3,0.0,NEU,NEU,[],[],YES
833,Cảnh đẹp nhưng đông quá ạ,3,0.0,NEU,NEU,[],[],YES
827,"Cơ sở vật chất xuống cấp, hư hỏng nhiều",2,0.0,NEG,NEG,[],[],NO
832,"Ok thôi, cũng được",3,0.0,NEU,NEU,[],[],YES
831,"Tạm ổn, giá hơi cao",3,0.0,NEU,NEU,[],[],YES
830,"Bình thường, không có gì đặc biệt",3,0.0,NEU,NEU,[],[],YES
829,Đắt mà chất lượng kém,2,0.0,NEG,NEG,[],[],NO
828,"Không sạch sẽ, mùi khó chịu",2,0.0,NEG,NEG,[],[],NO
826,"Quá đông, chen chúc, chờ lâu",2,0.0,NEG,NEG,[],[],NO
825,"Nhân viên thái độ kém, phục vụ tệ",2,0.0,NEG,NEG,[],[],NO
824,"Giá trên trời, không đáng tiền",1,0.0,NEG,NEG,[],[],NO
823,"Thất vọng hoàn toàn, không như quảng cáo",1,0.0,NEG,NEG,[],[],NO
822,"Chặt chém du khách, lừa đảo",1,0.0,NEG,NEG,[],[],NO
821,"Bẩn quá, toilet hôi hám",1,0.0,NEG,NEG,[],[],NO
815,"Cá nhân mình nghĩ Nên đi, view đẹp lắm",4,0.0,POS,POS,[],[],NO
819,"Mình thấy Không gian yên bình, thơ mộng",4,0.0,POS,POS,[],[],NO
818,"Giá hợp lý, đáng để trải nghiệm",4,0.0,POS,POS,[],[],NO
809,"Hoàn hảo, xứng đáng 5 sao",5,0.0,POS,POS,[],[],NO
808,"Rất hài lòng, sẽ quay lại",5,0.0,POS,POS,[],[],NO
820,"Dịch vụ tệ, không bao giờ quay lại nha",1,0.0,NEG,NEG,[],[],NO
811,"Siêu đẹp, chụp hình cực xịn",5,0.0,POS,POS,[],[],NO
810,"Tuyệt đẹp, không thể bỏ lỡ",5,0.0,POS,POS,[],[],NO
812,"Đáng tiền, trải nghiệm tốt",4,0.0,POS,POS,[],[],NO
813,"Khá ổn, cảnh đẹp, dịch vụ tốt",4,0.0,POS,POS,[],[],NO
816,"Địa điểm xinh, nhân viên dễ thương",4,0.0,POS,POS,[],[],NO
817,"Phòng sạch sẽ, tiện nghi đầy đủ ạ",4,0.0,POS,POS,[],[],NO
814,Hài lòng với chuyến đi,4,0.0,POS,POS,[],[],NO
806,"Cảnh đẹp xuất sắc, recommend mạnh nhé",5,0.0,POS,POS,[],[],NO
807,"View đỉnh cao, phục vụ nhiệt tình",5,0.0,POS,POS,[],[],NO
804,"Được, nhưng kỳ vọng cao hơn luôn",3,0.0,NEU,NEU,[],[],YES
805,"Địa điểm tuyệt vời, rất đáng đi",5,0.0,POS,POS,[],[],NO
803,Giá rẻ nhưng cơ sở vật chất hơi kém ạ,3,0.0,NEU,NEU,[],[],YES
802,Nhân viên thân thiện nhưng phòng cũ,3,0.0,NEU,NEU,[],[],YES
801,View đẹp nhưng xa trung tâm,3,0.0,NEU,NEU,[],[],YES
800,Đồ ăn ngon nhưng giá hơi mắc,3,0.0,NEU,NEU,[],[],YES
798,Cảnh đẹp nhưng đông quá,3,0.0,NEU,NEU,[],[],YES
799,Mình thấy Phòng sạch nhưng wifi yếu,3,0.0,NEU,NEU,[],[],YES
797,"Ok thôi, cũng được",3,0.0,NEU,NEU,[],[],YES
796,"Tạm ổn, giá hơi cao",3,0.0,NEU,NEU,[],[],YES
794,Đắt mà chất lượng kém,2,0.0,NEG,NEG,[],[],NO
795,"Bình thường, không có gì đặc biệt",3,0.0,NEU,NEU,[],[],YES
793,"Mình thấy Không sạch sẽ, mùi khó chịu",2,0.0,NEG,NEG,[],[],NO
792,"Cơ sở vật chất xuống cấp, hư hỏng nhiều nhé",2,0.0,NEG,NEG,[],[],NO
790,"Nhân viên thái độ kém, phục vụ tệ",2,0.0,NEG,NEG,[],[],NO
791,"Theo mình Quá đông, chen chúc, chờ lâu",2,0.0,NEG,NEG,[],[],NO
788,"Thất vọng hoàn toàn, không như quảng cáo",1,0.0,NEG,NEG,[],[],NO
789,"Mình thấy Giá trên trời, không đáng tiền",1,0.0,NEG,NEG,[],[],NO
787,"Chặt chém du khách, lừa đảo nha",1,0.0,NEG,NEG,[],[],NO
786,"Bẩn quá, toilet hôi hám nha",1,0.0,NEG,NEG,[],[],NO
784,"Không gian yên bình, thơ mộng",4,0.0,POS,POS,[],[],NO
785,"Dịch vụ tệ, không bao giờ quay lại",1,0.0,NEG,NEG,[],[],NO
782,"Phòng sạch sẽ, tiện nghi đầy đủ",4,0.0,POS,POS,[],[],NO
783,"Giá hợp lý, đáng để trải nghiệm",4,0.0,POS,POS,[],[],NO
780,"Nên đi, view đẹp lắm",4,0.0,POS,POS,[],[],NO
781,"Cá nhân mình nghĩ Địa điểm xinh, nhân viên dễ thương",4,0.0,POS,POS,[],[],NO
778,"Khá ổn, cảnh đẹp, dịch vụ tốt",4,0.0,POS,POS,[],[],NO
779,Cá nhân mình nghĩ Hài lòng với chuyến đi,4,0.0,POS,POS,[],[],NO
776,"Siêu đẹp, chụp hình cực xịn",5,0.0,POS,POS,[],[],NO
777,"Đáng tiền, trải nghiệm tốt",4,0.0,POS,POS,[],[],NO
775,"Tuyệt đẹp, không thể bỏ lỡ",5,0.0,POS,POS,[],[],NO
774,"Hoàn hảo, xứng đáng 5 sao",5,0.0,POS,POS,[],[],NO
773,"Rất hài lòng, sẽ quay lại",5,0.0,POS,POS,[],[],NO
772,"View đỉnh cao, phục vụ nhiệt tình",5,0.0,POS,POS,[],[],NO
771,"Cảnh đẹp xuất sắc, recommend mạnh",5,0.0,POS,POS,[],[],NO
770,"Địa điểm tuyệt vời, rất đáng đi nha",5,0.0,POS,POS,[],[],NO
769,"Được, nhưng kỳ vọng cao hơn",3,0.0,NEU,NEU,[],[],YES
